Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MonadBayes_LR900_SMC100,0.4448398923335238,0.43324193425178237,0.4531186800013529,1.2977644625755517e-2,7.321045667291998e-3,1.8330721508652472e-2
MonadBayes_LR1000_MH100,0.7167049542301053,0.5418796376040215,0.8673841452546185,0.18117422413051681,0.14899566186984825,0.20576664736877834
MonadBayes_LR1000_SMC100,0.4437239536631144,0.3544147089996841,0.47623474766017654,6.036421513253075e-2,4.409665661417733e-3,7.508046266308918e-2
MonadBayes_HMM10_MH100,8.626654465487552e-3,8.098491843306976e-3,9.363075936052427e-3,1.7951074628503754e-3,1.6087122683783638e-3,2.0304578096872086e-3
MonadBayes_HMM10_SMC100,5.333500811383126e-3,5.135056494858866e-3,5.534421641370811e-3,5.779868816526207e-4,3.959740304639089e-4,8.900815119544604e-4
MonadBayes_HMM100_MH100,0.1152949830208862,0.10470798462358041,0.14562171931456616,2.8804820454110903e-2,3.7670858291403535e-3,4.627240575124028e-2
MonadBayes_HMM100_SMC100,4.917218421101582e-2,4.787400907192027e-2,5.175375596418868e-2,3.4534703343440214e-3,1.3580481685120942e-3,5.378709748848157e-3
MonadBayes_HMM200_MH100,0.22406722585397398,0.21736456546544405,0.23535310026224276,1.1547892169523365e-2,4.89990416301317e-3,1.649822968814688e-2
MonadBayes_HMM200_SMC100,9.844684475999668e-2,9.592115386894201e-2,0.10140617090255738,4.368471524531495e-3,2.9807301559106234e-3,5.949820872346293e-3
MonadBayes_HMM300_MH100,0.36380039205990516,0.3534048001274641,0.3796054109892187,1.507949878889317e-2,3.5805813737776193e-3,1.9873091962309665e-2
MonadBayes_HMM300_SMC100,0.14219735372494977,0.14006821494259464,0.14530884552188494,3.715111383130524e-3,2.040452690711646e-3,5.742185053084361e-3
MonadBayes_HMM400_MH100,0.5295247600806761,0.4982694281170552,0.553246935876814,3.477262955574982e-2,2.3360756641425433e-2,4.218432663187381e-2
MonadBayes_HMM400_SMC100,0.21525326267122483,0.20049175536825917,0.24030708058732367,2.7395325931273654e-2,1.6112539394233634e-2,3.860714873677587e-2
MonadBayes_HMM500_MH100,0.6375594860043444,0.5373612555055539,0.7098102960007964,9.717313921954839e-2,4.9436618496353446e-2,0.12162629299411239
MonadBayes_HMM500_SMC100,0.17990443671903145,0.17798820569441887,0.182744688760431,3.2341244179297643e-3,1.7888701469839722e-3,4.678301214683724e-3
MonadBayes_HMM600_MH100,0.668685310939812,0.637591360185373,0.6910222037598336,3.207201035932774e-2,1.1576766492865365e-2,4.113108256099148e-2
MonadBayes_HMM600_SMC100,0.22590079062138102,0.21509467606423036,0.235560660166003,1.3539624167602118e-2,1.0377220935390771e-2,1.7176462821229314e-2
MonadBayes_HMM700_MH100,0.7422566481466978,0.6299565966255614,0.8502103495399449,0.12734269207064616,9.442360949378127e-2,0.1473805131571477
MonadBayes_HMM700_SMC100,0.266132733959627,0.2392853234002056,0.2964646631584037,3.4905129850891274e-2,2.399705725136151e-2,4.521534653082073e-2
MonadBayes_HMM800_MH100,1.184679890853052,0.9745829747274304,1.353309370999341,0.22011469475404738,9.576494130108554e-2,0.2971447892889748
MonadBayes_HMM800_SMC100,0.39060779193763057,0.3800856654361269,0.4021453284458403,1.2083313500717964e-2,6.064130874923052e-3,1.6981536502520628e-2
MonadBayes_HMM900_MH100,1.0864226137273363,1.0650531064602546,1.1146546009913436,2.7203504207774627e-2,1.306136537459679e-2,3.426879746238198e-2
MonadBayes_HMM900_SMC100,0.32723174542421474,0.3187759581953287,0.33555592711956705,1.1100100225181335e-2,8.380970374065171e-3,1.3239266497869022e-2
MonadBayes_HMM1000_MH100,1.2142889801295194,1.1839800217664258,1.2433142597474216,3.370536802821005e-2,2.8528331967018247e-2,3.704331142952859e-2
MonadBayes_HMM1000_SMC100,0.37068127367213793,0.3631775538475873,0.3819020389964862,1.0594556763438996e-2,8.079753458486126e-4,1.3360611433976499e-2
MonadBayes_LDA5_MH100,3.394625110495175e-2,3.164727123610759e-2,3.589475581135797e-2,4.6164920247749415e-3,3.7468617261459864e-3,5.3378096254453064e-3
MonadBayes_LDA5_SMC100,1.9914384841132414e-2,1.952522553548831e-2,2.0374192800731952e-2,9.96873931979135e-4,8.442245528962241e-4,1.2592017820006608e-3
MonadBayes_LDA50_MH100,0.16194858500515394,0.15475483190467848,0.16845124320374155,1.0307825412137863e-2,6.7704549108582495e-3,1.4996879466372863e-2
MonadBayes_LDA50_SMC100,0.11655416469054347,0.10556927176214963,0.12777613270861496,1.7884305756963485e-2,1.4124537600394265e-2,2.43438058006635e-2
MonadBayes_LDA100_MH100,0.3943152956508129,0.36550773794624547,0.41033866073303216,2.796502426426555e-2,6.478344919742085e-3,3.700437657417172e-2
MonadBayes_LDA100_SMC100,0.1805580131004616,0.1763422701947598,0.18510892032872006,5.9542148229658e-3,3.836411860296517e-3,9.071315782146334e-3
MonadBayes_LDA150_MH100,0.6961786962474434,0.6500607772468356,0.7628726923740032,6.310856653171036e-2,5.979080092592591e-3,8.00011332802986e-2
MonadBayes_LDA150_SMC100,0.4118422949347102,0.3565039658690997,0.4671806240003207,6.67553724693843e-2,4.318210583333676e-2,7.942208373195207e-2
MonadBayes_LDA200_MH100,0.8797977803527223,0.8437922143129981,0.9024669311911566,3.73610940199117e-2,2.6379602156315914e-2,4.51678181123065e-2
MonadBayes_LDA200_SMC100,0.6072496151203571,0.47743912412443024,0.8301099261116178,0.21391531608457098,2.7231354249427853e-2,0.27148610995016526
MonadBayes_LDA250_MH100,1.1897001276211085,1.009374339128044,1.334492436988512,0.17727823703770076,0.10291017424606252,0.21555308155280095
MonadBayes_LDA250_SMC100,0.6881894077311396,0.5345220712127532,0.9378857711235469,0.24786502904362498,9.471573598459407e-2,0.3400997197497648
MonadBayes_LDA300_MH100,2.2734897115436374,2.0638021180038777,2.384781045710649,0.1993759424343132,7.19637507427251e-2,0.2570163269591863
MonadBayes_LDA300_SMC100,0.732182092149742,0.711517670257308,0.7604812630670494,2.99966077264595e-2,7.753612758874758e-3,3.996882541010406e-2
MonadBayes_LDA350_MH100,2.309847940103282,2.155226555918489,2.422157435061308,0.15342655924088047,8.242747104304726e-2,0.19289416773062826
MonadBayes_LDA350_SMC100,0.6470012846900014,0.5763759421218613,0.7791677176355734,0.12950050300610616,6.324307755373126e-3,0.15579956060329544
MonadBayes_LDA400_MH100,1.8773994528552673,1.693316943422057,1.9821826607512776,0.17623299887292468,6.76012665450495e-2,0.22877115224278607
MonadBayes_LDA400_SMC100,0.658766867608089,0.6521464633806318,0.6679965647490462,8.928691429153111e-3,2.9283886287885252e-3,1.190775672522058e-2
MonadBayes_LDA450_MH100,2.271222036331286,2.1761376389949874,2.3636418240021158,0.11470165692885956,5.121982300261152e-2,0.13936578339409303
MonadBayes_LDA450_SMC100,0.7646618977087201,0.7454063766635954,0.791629611128883,2.5690278741276835e-2,9.921307835611515e-3,3.301258153594992e-2
MonadBayes_LDA500_MH100,2.6343306221254656,2.4492323056219902,2.775901457256017,0.19407108127792008,0.11879614200734068,0.23769638148447106
MonadBayes_LDA500_SMC100,0.9843580522040914,0.8717320875778872,1.049365660866897,0.1071425397244916,1.9749361488487868e-2,0.13992394273360448
